StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade
17,94,0,1,0,1,1,19,3,3,1,74,92,0,2,0
17,94,2,1,1,1,1,19,3,3,1,74,92,0,2,0
23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2
23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0
23,98,1,1,1,1,1,27,2,5,0,65,58,0,2,2
23,98,1,1,1,1,1,27,1,4,1,100,93,0,2,0
23,98,0,0,1,1,1,27,2,5,0,65,58,0,2,2
23,98,0,0,1,1,1,27,1,4,1,100,93,0,2,0
23,98,2,0,1,1,1,27,2,5,0,65,58,0,2,2
23,98,2,0,1,1,1,27,1,4,1,100,93,0,2,0
23,98,2,1,0,1,1,27,2,5,0,65,58,0,2,2
23,98,2,1,0,1,1,27,1,4,1,100,93,0,2,0
17,80,2,0,1,0,1,18,1,13,1,68,73,0,2,1
17,80,2,0,1,0,1,24,3,11,1,64,69,1,0,2
17,80,2,0,1,0,1,23,0,7,1,68,87,1,1,0
17,80,2,0,1,0,1,27,0,12,0,64,88,1,0,0
17,80,2,0,1,0,1,29,1,0,1,73,78,1,0,1
17,80,1,0,1,1,1,18,1,13,1,68,73,0,2,1
17,80,1,0,1,1,1,24,3,11,1,64,69,1,0,2
17,80,1,0,1,1,1,23,0,7,1,68,87,1,1,0
17,80,1,0,1,1,1,27,0,12,0,64,88,1,0,0
17,80,1,0,1,1,1,29,1,0,1,73,78,1,0,1
17,80,2,0,1,1,1,18,1,13,1,68,73,0,2,1
17,80,2,0,1,1,1,24,3,11,1,64,69,1,0,2
17,80,2,0,1,1,1,23,0,7,1,68,87,1,1,0
17,80,2,0,1,1,1,27,0,12,0,64,88,1,0,0
17,80,2,0,1,1,1,29,1,0,1,73,78,1,0,1
17,97,2,1,0,1,1,27,1,9,0,64,87,1,1,0
17,97,2,1,0,1,1,25,2,20,1,70,82,1,1,1
17,97,1,0,1,1,1,27,1,9,0,64,87,1,1,0
17,97,1,0,1,1,1,25,2,20,1,70,82,1,1,1
17,97,2,0,2,1,1,27,1,9,0,64,87,1,1,0
17,97,2,0,2,1,1,25,2,20,1,70,82,1,1,1
17,97,2,1,1,0,1,27,1,9,0,64,87,1,1,0
17,97,2,1,1,0,1,25,2,20,1,70,82,1,1,1
17,97,2,0,1,1,1,27,1,9,0,64,87,1,1,0

